ENCSR962BVU	15221	17607	86.4486
ENCSR984OAE	14567	16384	88.9099
ENCSR983KDL	15416	18323	84.1347
ENCSR834DQL	10070	11082	90.8681
ENCSR591OZR	13227	14258	92.769
ENCSR786FLO	14193	15457	91.8225
ENCSR853YZN	18799	23631	79.5523
ENCSR997RFW	15644	16928	92.4149
ENCSR634AKC	15103	16925	89.2349
ENCSR986WKB	18437	20475	90.0464
ENCSR113MEY	16058	18313	87.6863
ENCSR388RWE	15050	16835	89.3971
ENCSR159ICU	11289	12754	88.5134
ENCSR121FDE	11896	15032	79.1378
ENCSR546DFO	11290	12400	91.0484
ENCSR972ABM	9100	10502	86.6502
ENCSR813UIT	12283	14128	86.9408
ENCSR782LGT	14075	15893	88.561
ENCSR700SUP	13912	18491	75.2366
ENCSR916JDV	13090	15430	84.8347
ENCSR810XLL	14869	16999	87.4699
ENCSR947JHA	17192	20062	85.6943
ENCSR526TQU	14935	17311	86.2746
ENCSR899GAP	13551	14565	93.0381
ENCSR700XDQ	13080	14609	89.5338
ENCSR583KCB	13049	16095	81.0749
ENCSR463IDK	13864	17162	80.7831
ENCSR094NFM	14655	21772	67.3112
ENCSR989ZYL	12547	15093	83.1313
ENCSR368UNC	13600	19179	70.9109
ENCSR049AYR	11783	14634	80.518
ENCSR127HKN	13375	14253	93.8399
ENCSR181CES	15945	18546	85.9754
ENCSR724HQB	12480	15018	83.1003
ENCSR583KAF	12351	15456	79.9107
ENCSR930GRQ	12594	16377	76.9005
ENCSR917JIA	11562	14173	81.5776
ENCSR514YQN	15040	16271	92.4344
ENCSR507WZC	15989	17500	91.3657
ENCSR687RWI	12397	14860	83.4253
ENCSR071IHY	12306	13634	90.2596
ENCSR676IWT	9953	10919	91.153
ENCSR902GAF	10556	12020	87.8203
ENCSR316ZTD	13573	16410	82.7118
ENCSR096QUP	15540	16873	92.0998
ENCSR450GAR	14522	16414	88.4733
ENCSR243DYK	12992	14411	90.1534
ENCSR728TXV	14988	16522	90.7154
ENCSR507JOF	13282	14184	93.6407
ENCSR435UUS	14786	15938	92.772
ENCSR309IKK	7612	8566	88.8629
ENCSR549ELD	13786	15654	88.0669
ENCSR392BGY	11932	14062	84.8528
ENCSR777CCI	13101	14469	90.5453
ENCSR323XND	15482	17406	88.9463
ENCSR700EBI	15375	19674	78.1488
ENCSR994YZY	13810	15485	89.1831
ENCSR803QWH	13479	15146	88.9938
ENCSR706ANY	8469	9282	91.2411
ENCSR589FUJ	9065	9865	91.8905
ENCSR432YKA	17455	19841	87.9744
ENCSR271KEJ	12945	13888	93.21
ENCSR319VGI	8370	9908	84.4772
ENCSR563RLX	13302	13898	95.7116
ENCSR758ABF	13880	17026	81.5224
ENCSR462COR	11311	12539	90.2066
ENCSR278ZPI	11843	14442	82.0039
ENCSR470HYQ	12327	13482	91.433
ENCSR580IDG	12854	15300	84.0131
ENCSR398SKD	10580	11396	92.8396
ENCSR697ASE	13598	16616	81.8368
ENCSR205QMF	12637	16880	74.8637
ENCSR998KIZ	12307	14529	84.7064
ENCSR169YNI	13378	15676	85.3406
ENCSR690QHM	13377	16197	82.5894
ENCSR257YUB	13983	16632	84.0729
ENCSR426KOP	9145	9591	95.3498
ENCSR425HFS	12680	14968	84.7141
ENCSR648QZP	12018	14048	85.5495
ENCSR257JBF	10025	11288	88.8111
ENCSR530BOC	9715	10789	90.0454
ENCSR587WPR	12012	13579	88.4601
ENCSR081NRO	9063	10129	89.4758
ENCSR293MOX	5821	6675	87.206
ENCSR803XXZ	10865	12171	89.2696
ENCSR838WFC	8328	9177	90.7486
ENCSR904KAT	10632	11183	95.0729
ENCSR044ARQ	10254	10761	95.2885
ENCSR657HJW	9161	9835	93.1469
ENCSR746ITG	10278	11082	92.745
ENCSR424QFN	13551	15493	87.4653
ENCSR887LTD	9203	9534	96.5282
ENCSR575LWI	10715	11776	90.9901
ENCSR148IIG	9932	10879	91.2952
ENCSR138TAS	11400	12599	90.4834
ENCSR194YUY	8889	10347	85.909
ENCSR553SVP	12560	14046	89.4205
ENCSR477HHG	11395	12640	90.1503
ENCSR056MYH	8662	9846	87.9748
ENCSR995WKW	9585	10828	88.5205
ENCSR329ZQG	12279	14374	85.4251
ENCSR261GOA	11568	12605	91.7731
ENCSR130CIK	9627	10437	92.2391
ENCSR296PQZ	9369	10396	90.1212
